cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,objname_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
699,23.033668,55.875357,1.6096593150E+02,5.8644244900E+01,VFID0698,SDSSJ104351.82+583839.0,HPESL160A_J104354.2+583852,red,160.976111,58.647834,0.001031,0.000536,65.774,3.698,2.671,28.086,55.880,28.884,0.516898,f,1342233312
703,12.087170,60.970996,1.7502810750E+02,5.8613150800E+01,VFID0702,NGC3795,HPESL100A_J114008.1+583653,green,175.033745,58.614780,0.000282,0.000147,597.571,11.601,null,121.642,29.573,10.217,0.345479,f,1342255704
703,18.339964,-126.236643,1.7502810750E+02,5.8613150800E+01,VFID0702,NGC3795,HPESL100A_J114004.8+583637,green,175.020218,58.610139,0.000350,0.000182,453.777,9.801,null,116.735,25.443,9.318,0.366243,f,1342255704
712,20.077151,-84.527267,1.7213988750E+02,5.8562906300E+01,VFID0711,NGC3690,HPESL070A_J112831.0+583348,blue,172.129243,58.563438,0.000010,0.000005,55153.623,6.212,null,4480.896,14.558,null,0.000000,t,1342210600
712,20.650213,-100.601616,1.7213988750E+02,5.8562906300E+01,VFID0711,NGC3690,HPESL100A_J112830.9+583343,green,172.129078,58.561851,0.000007,0.000004,48901.167,21.251,null,7236.146,17.974,null,0.000000,t,1342210604
713,1.528239,88.216311,1.7212826400E+02,5.8561837300E+01,VFID0712,IC0694,HPESL100A_J112830.9+583343,green,172.129078,58.561851,0.000007,0.000004,48901.167,21.251,null,7236.146,17.974,null,0.000000,t,1342210604
713,6.047875,17.698411,1.7212826400E+02,5.8561837300E+01,VFID0712,IC0694,HPESL070A_J112831.0+583348,blue,172.129243,58.563438,0.000010,0.000005,55153.623,6.212,null,4480.896,14.558,null,0.000000,t,1342210600
758,8.398110,-9.784753,1.7411036100E+02,5.8190854500E+01,VFID0757,UGC06575,HPESL160A_J113626.3+581135,red,174.109609,58.193153,0.000370,0.000195,404.975,8.293,3.729,81.426,32.090,12.219,0.380786,f,1342255702
758,15.246014,177.731296,1.7411036100E+02,5.8190854500E+01,VFID0757,UGC06575,HPESL100A_J113626.5+581112,green,174.110679,58.186623,0.000371,0.000196,284.172,7.582,null,80.290,15.423,6.312,0.409253,f,1342255702
779,17.381816,-127.666842,1.6977134250E+02,5.8022585800E+01,VFID0778,PGC034619,HPESL070A_J111903.3+580111,blue,169.764126,58.019635,0.000319,0.000169,7.237,3.198,2.225,17.472,11.955,6.288,0.525934,f,1342255410
825,0.453736,-82.764858,1.6534822350E+02,5.7677655400E+01,VFID0824,NGC3488,HPESL100A_J110123.5+574040,green,165.347990,57.677671,0.000370,0.000198,709.104,31.861,null,65.226,24.449,19.029,0.778294,f,1342233312
825,1.755580,157.362137,1.6534822350E+02,5.7677655400E+01,VFID0824,NGC3488,HPESL160A_J110123.6+574038,red,165.348575,57.677205,0.000385,0.000206,1073.885,18.755,10.051,75.078,35.079,30.397,0.866532,f,1342233312
876,0.696797,11.699510,1.6345639050E+02,5.7118701300E+01,VFID0875,NGC3440,HPESL100A_J105349.5+570708,green,163.456463,57.118891,0.000161,0.000087,620.309,34.746,17.008,89.566,15.792,10.071,0.637767,f,1342184480
876,0.775242,31.538045,1.6345639050E+02,5.7118701300E+01,VFID0875,NGC3440,HPESL100A_J105349.5+570708,green,163.456598,57.118885,0.000153,0.000083,695.468,48.448,31.650,64.578,15.942,10.808,0.677928,f,1342233312
885,1.872775,-68.055495,1.5836850600E+02,5.7052660700E+01,VFID0884,PGC031207,HPESL100A_J103328.2+570310,green,158.367619,57.052855,0.000203,0.000110,630.657,53.210,null,49.606,19.462,12.815,0.658449,f,1342233312
895,13.720755,94.391857,1.6364875800E+02,5.6990105500E+01,VFID0894,NGC3445,HPESL160A_J105437.3+565923,red,163.655733,56.989813,0.000200,0.000109,1380.663,9.447,7.868,178.137,27.305,null,0.000000,f,1342233312
895,16.709565,98.655211,1.6364875800E+02,5.6990105500E+01,VFID0894,NGC3445,HPESL100A_J105437.7+565922,green,163.657181,56.989407,0.000133,0.000073,1594.524,24.961,null,222.242,24.706,16.862,0.682492,f,1342233312
937,1.904167,-144.193389,2.2897315050E+02,5.6329150500E+01,VFID0936,NGC5907,HPESL160A_J151553.4+561943,red,228.972592,56.328722,0.000038,0.000021,15816.617,29.158,8.208,1347.966,53.255,13.998,0.262852,f,1342220804
949,12.417978,-17.526990,1.7522521650E+02,5.6202204500E+01,VFID0948,NGC3794,HPESL100A_J114053.6+561220,green,175.223349,56.205494,0.000581,0.000323,347.635,8.012,null,89.726,14.235,null,0.000000,f,1342255868
955,39.017322,33.126193,1.6194053850E+02,5.6091364300E+01,VFID0954,UGC05888,HPESL160A_J104748.2+560602,red,161.951158,56.100440,0.000657,0.000367,112.952,6.121,2.423,39.283,52.543,null,0.000000,f,1342233312
957,2.676348,-46.871872,1.7731376700E+02,5.6084361700E+01,VFID0956,NGC3898,HPESL100A_J114915.0+560506,green,177.312795,56.084870,0.000129,0.000072,375.095,15.507,15.798,82.507,16.109,7.800,0.484195,f,1342255866
961,19.133453,-136.087112,1.6134331200E+02,5.5960365100E+01,VFID0960,NGC3353,HPESL070A_J104520.8+555724,blue,161.336727,55.956536,0.000164,0.000092,2016.332,6.092,3.198,281.895,18.696,null,0.000000,f,1342195618
977,2.243006,171.600133,2.2662298350E+02,5.5763219300E+01,VFID0976,NGC5866,HPESL160A_J150629.5+554545,red,226.623145,55.762603,0.000016,0.000009,11527.164,38.530,31.850,811.862,30.984,10.949,0.353385,t,1342202963
986,32.246746,-17.088438,1.5049174800E+02,5.5679963300E+01,VFID0985,NGC3079,HPESL100A_J100156.9+554119,green,150.487079,55.688525,0.000001,0.000001,29032.763,3.646,null,17318.393,22.102,9.254,0.418713,t,1342231542
986,34.253327,-17.405882,1.5049174800E+02,5.5679963300E+01,VFID0985,NGC3079,HPESL070A_J100156.8+554121,blue,150.486699,55.689042,0.000027,0.000015,15844.110,1.106,null,5819.355,11.828,null,0.000000,f,1342246745
986,35.321596,-18.971412,1.5049174800E+02,5.5679963300E+01,VFID0985,NGC3079,HPESL070A_J100156.6+554121,blue,150.486089,55.689242,0.000029,0.000017,16690.001,0.907,null,6772.624,19.221,7.168,0.372937,f,1342254551
1019,1.682048,177.216920,1.7893789350E+02,5.5320726200E+01,VFID1018,NGC3972,HPESL070A_J115545.1+551913,blue,178.937933,55.320260,0.000012,0.000007,511.876,5.964,null,201.058,13.707,7.069,0.515714,t,1342221588
1019,1.846895,152.278222,1.7893789350E+02,5.5320726200E+01,VFID1018,NGC3972,HPESL160A_J115545.2+551913,red,178.938313,55.320272,0.000009,0.000005,2117.008,17.734,8.093,212.667,43.239,19.271,0.445675,t,1342221588
1019,21.116614,-73.768458,1.7893789350E+02,5.5320726200E+01,VFID1018,NGC3972,HPESL070A_J115542.7+551921,blue,178.927995,55.322365,0.000051,0.000029,316.845,3.052,null,195.975,23.794,null,0.000000,t,1342221588
1025,26.930655,132.658735,1.4349894000E+02,5.5245924800E+01,VFID1024,[MU2012]J0934+55A,HPESL100A_J093402.0+551427,green,143.508589,55.240855,0.000602,0.000343,26.673,3.438,3.816,29.067,13.855,null,0.000000,f,1342209356
1026,0.992337,-30.606852,1.4350883550E+02,5.5240618000E+01,VFID1025,UGCA166,HPESL100A_J093402.0+551427,green,143.508589,55.240855,0.000602,0.000343,26.673,3.438,3.816,29.067,13.855,null,0.000000,f,1342209356
1036,10.272252,-155.593027,1.7911718850E+02,5.5125260700E+01,VFID1035,NGC3982,HPESL160A_J115627.6+550722,red,179.115127,55.122662,0.000136,0.000078,7213.311,24.740,11.697,619.253,43.147,null,0.000000,f,1342257149
1038,9.445318,-112.801457,2.1185403900E+02,5.5103012500E+01,VFID1037,NGC5486,HPESL100A_J140723.9+550607,green,211.849811,55.101996,0.000436,0.000250,300.442,7.238,null,92.710,20.404,null,0.000000,f,1342259352
1038,9.857310,0.848928,2.1185403900E+02,5.5103012500E+01,VFID1037,NGC5486,HPESL160A_J140724.9+550621,red,211.854110,55.105750,0.000677,0.000387,430.416,7.023,6.610,88.069,31.947,null,0.000000,f,1342259352
1038,17.073429,54.599272,2.1185403900E+02,5.5103012500E+01,VFID1037,NGC5486,HPESL100A_J140726.5+550621,green,211.860797,55.105760,0.000466,0.000266,272.146,4.686,2.052,89.957,25.257,null,0.000000,f,1342259352
1038,29.413335,118.677425,2.1185403900E+02,5.5103012500E+01,VFID1037,NGC5486,HPESL100A_J140727.9+550557,green,211.866567,55.099091,0.000263,0.000150,138.287,4.139,3.607,92.620,14.316,7.760,0.542028,f,1342259352
1041,12.869644,100.993122,1.7606172300E+02,5.5034986100E+01,VFID1040,NGC3846A,HPESL100A_J114416.2+550203,green,176.067847,55.034304,0.000377,0.000216,289.156,6.129,null,88.127,14.126,null,0.000000,f,1342255870
1041,14.793571,-138.177566,1.7606172300E+02,5.5034986100E+01,VFID1040,NGC3846A,HPESL160A_J114413.6+550155,red,176.056942,55.031924,0.000405,0.000232,522.339,9.187,4.331,88.025,34.383,null,0.000000,f,1342255870
1041,17.212683,44.581082,1.7606172300E+02,5.5034986100E+01,VFID1040,NGC3846A,HPESL160A_J114416.2+550218,red,176.067580,55.038391,0.000896,0.000513,434.451,7.419,3.483,87.648,27.188,null,0.000000,f,1342255870
1047,0.570708,20.288767,2.1179727900E+02,5.5001626200E+01,VFID1046,NGC5485,HPESL160A_J140711.3+550006,red,211.797375,55.001775,0.000124,0.000071,694.772,23.859,23.516,47.434,25.608,12.489,0.487708,f,1342237180
1047,1.374897,37.207007,2.1179727900E+02,5.5001626200E+01,VFID1046,NGC5485,HPESL100A_J140711.4+550007,green,211.797682,55.001930,0.000123,0.000070,533.171,34.958,null,44.704,14.442,null,0.000000,f,1342237180
1082,31.044346,121.520142,1.8354007950E+02,5.4526472800E+01,VFID1081,NGC4194,HPESL070A_J121412.6+543119,blue,183.552745,54.521964,0.000515,0.000299,6065.812,0.619,null,4041.615,20.528,null,0.000000,f,1342233545
1098,3.128482,-15.268255,1.6366417650E+02,5.4305113900E+01,VFID1097,NGC3448,HPESL160A_J105439.3+541821,red,163.663784,54.305952,0.000045,0.000026,5899.725,37.334,21.678,384.085,24.224,13.838,0.571259,f,1342232409
1098,33.999559,-104.126244,1.6366417650E+02,5.4305113900E+01,VFID1097,NGC3448,HPESL100A_J105435.6+541810,green,163.648480,54.302808,0.000092,0.000054,1377.482,2.795,null,1386.051,15.813,null,0.000000,f,1342232409
1099,37.784791,-16.926658,1.7420012400E+02,5.4293590200E+01,VFID1098,NGC3756,HPESL160A_J113646.7+541813,red,174.194887,54.303631,0.000223,0.000130,1411.420,13.639,3.634,151.390,41.004,null,0.000000,f,1342255872
1099,38.959605,169.855942,1.7420012400E+02,5.4293590200E+01,VFID1098,NGC3756,HPESL100A_J113648.8+541659,green,174.203389,54.282937,0.000326,0.000190,571.199,6.896,null,128.075,14.532,null,0.000000,f,1342255872
1118,15.969181,26.081720,1.6183040100E+02,5.4037780300E+01,VFID1117,UGC05883,HPESL070A_J104720.0+540230,blue,161.833722,54.041764,0.000448,0.000263,82.632,6.774,3.898,30.334,12.743,null,0.000000,f,1342233422
1118,20.992691,78.915030,1.6183040100E+02,5.4037780300E+01,VFID1117,UGC05883,HPESL160A_J104721.6+540220,red,161.840146,54.038901,0.000542,0.000319,139.264,4.426,2.499,35.556,30.834,null,0.000000,f,1342233422
1157,2.005300,74.853361,2.1499037850E+02,5.3470118400E+01,VFID1156,PGC051217,HPESL100A_J141957.9+532813,green,214.991282,53.470264,0.000461,0.000274,119.614,19.766,9.297,29.901,21.763,8.378,0.384983,f,1342190310
1174,1.377005,20.567127,1.7026200000E+02,5.3169556000E+01,VFID1173,NGC3631,HPESL160A_J112102.9+531012,red,170.262224,53.169914,0.000110,0.000066,7706.332,50.831,17.966,352.100,29.918,24.068,0.804474,f,1342255696
1176,25.325283,19.633764,1.7345586000E+02,5.3125846500E+01,VFID1175,NGC3729,HPESL100A_J113350.3+530757,green,173.459800,53.132472,0.000069,0.000042,1677.445,5.726,null,792.927,16.158,null,0.000000,f,1342255876
1183,0.932066,106.958110,1.7314519950E+02,5.3067900000E+01,VFID1182,NGC3718,HPESL160A_J113234.9+530404,red,173.145612,53.067824,0.000118,0.000071,1379.336,15.413,5.408,164.728,39.621,13.207,0.333325,f,1342231243
1212,14.605584,158.831862,1.6227103500E+02,5.2335499500E+01,VFID1211,PGC032356,HPESL070A_J104905.6+521954,blue,162.273432,52.331716,0.000388,0.000237,171.862,12.428,3.002,21.773,13.333,null,0.000000,f,1342195827
1213,27.990877,116.859785,1.7845422450E+02,5.2326687400E+01,VFID1212,NGC3953,HPESL100A_J115351.7+521923,green,178.465573,52.323174,0.000259,0.000158,409.587,4.626,null,340.274,28.596,null,0.000000,f,1342255880
1213,31.507379,-120.751787,1.7845422450E+02,5.2326687400E+01,VFID1212,NGC3953,HPESL100A_J115346.0+521920,green,178.441919,52.322212,0.000152,0.000093,541.165,5.524,null,300.778,19.455,null,0.000000,f,1342255880
1213,36.351094,161.984933,1.7845422450E+02,5.2326687400E+01,VFID1212,NGC3953,HPESL100A_J115350.2+521902,green,178.459333,52.317085,0.000387,0.000237,388.637,4.575,null,268.382,17.712,null,0.000000,f,1342255880
1275,22.458096,73.059349,1.4051106600E+02,5.0976617600E+01,VFID1274,NGC2841,HPESL100A_J092204.9+505842,green,140.520544,50.978435,0.000181,0.000114,413.154,6.125,2.903,130.494,23.919,9.160,0.382953,f,1342207167
1292,22.557819,164.959466,2.1158992350E+02,5.0725103900E+01,VFID1291,NGC5480,HPESL070A_J140622.2+504309,blue,211.592492,50.719052,0.000083,0.000053,1475.107,3.919,null,438.608,19.836,15.697,0.791362,f,1342257493
1351,0.677939,139.403134,2.0400503700E+02,4.9960787800E+01,VFID1350,IC0902,HPESL100A_J133601.2+495738,green,204.005227,49.960645,0.000031,0.000020,1932.035,52.885,16.265,126.918,15.331,8.140,0.530926,f,1342258520
1375,30.627777,-29.901768,1.8153565200E+02,4.9582772200E+01,VFID1374,NGC4100,HPESL100A_J120606.9+493525,green,181.529109,49.590147,0.000069,0.000045,2376.636,1.640,null,3558.484,15.426,10.402,0.674359,f,1342256176
1448,1.753794,14.029097,2.1904661100E+02,4.8584974700E+01,VFID1447,NGC5693,HPESL100A_J143611.2+483508,green,219.046790,48.585447,0.000314,0.000208,254.124,12.953,4.893,83.499,17.158,9.439,0.550101,f,1342197280
1448,19.167928,166.828634,2.1904661100E+02,4.8584974700E+01,VFID1447,NGC5693,HPESL160A_J143611.6+483447,red,219.048445,48.579790,0.000492,0.000326,423.334,6.636,3.450,78.144,34.821,null,0.000000,f,1342197280
1452,1.602203,-82.997454,2.1925657350E+02,4.8544926600E+01,VFID1451,NGC5700,HPESL100A_J143701.4+483242,green,219.255906,48.544981,0.000425,0.000282,503.254,34.923,null,64.728,18.376,11.165,0.607617,f,1342197280
1546,3.100123,-53.718722,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121857.3+471816,blue,184.738912,47.304391,0.000027,0.000019,3323.269,11.909,null,529.264,14.513,10.301,0.709774,f,1342220105
1546,3.109139,-56.108238,1.8473993550E+02,4.7303881600E+01,VFID1545,NGC4258,HPESL070A_J121857.3+471816,blue,184.738878,47.304363,0.000042,0.000028,3427.176,12.344,null,520.782,14.650,9.584,0.654215,f,1342235143
