cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
635,9.742313,74.336915,260.52,59.11,VFID0634,null,HPESL100A_J172205.2+590649,green,260.521989,59.113562,0.000579,0.000297,657.656,36.002,null,72.777,18.849,13.652,0.72429,f,1342186123
654,8.535703,-90.523781,157.23,58.97,VFID0653,UGC05673,HPESL100A_J102855.0+585823,green,157.22924,58.972984,0.000723,0.000372,178.812,19.83,null,37.956,25.869,14.694,0.567987,f,1342233312
693,33.589518,106.920298,133.89,58.73,VFID0692,NGC2685,HPESL160A_J085538.8+584354,red,133.911798,58.731677,0.000496,0.000257,341.336,7.822,3.321,58.819,34.758,null,0,f,1342254557
697,1.404217,-23.009865,208.69,58.67,VFID0696,NGC5372,HPESL100A_J135445.9+584001,green,208.69135,58.666978,0.000024,0.000012,3829.754,177.219,27.26,78.477,14.661,9.589,0.654064,f,1342258522
699,23.033668,55.875357,160.97,58.64,VFID0698,SDSSJ104351.82+583839.0,HPESL160A_J104354.2+583852,red,160.976111,58.647834,0.001031,0.000536,65.774,3.698,2.671,28.086,55.88,28.884,0.516898,f,1342233312
703,12.08717,60.970996,175.03,58.61,VFID0702,NGC3795,HPESL100A_J114008.1+583653,green,175.033745,58.61478,0.000282,0.000147,597.571,11.601,null,121.642,29.573,10.217,0.345479,f,1342255704
712,20.077151,-84.527267,172.14,58.56,VFID0711,NGC3690,HPESL070A_J112831.0+583348,blue,172.129243,58.563438,0.00001,0.000005,55153.623,6.212,null,4480.896,14.558,null,0,t,1342210600
713,1.528239,88.216311,172.13,58.56,VFID0712,IC0694,HPESL100A_J112830.9+583343,green,172.129078,58.561851,0.000007,0.000004,48901.167,21.251,null,7236.146,17.974,null,0,t,1342210604
758,8.39811,-9.784753,174.11,58.19,VFID0757,UGC06575,HPESL160A_J113626.3+581135,red,174.109609,58.193153,0.00037,0.000195,404.975,8.293,3.729,81.426,32.09,12.219,0.380786,f,1342255702
779,17.381816,-127.666842,169.77,58.02,VFID0778,PGC034619,HPESL070A_J111903.3+580111,blue,169.764126,58.019635,0.000319,0.000169,7.237,3.198,2.225,17.472,11.955,6.288,0.525934,f,1342255410
825,0.453736,-82.764858,165.35,57.68,VFID0824,NGC3488,HPESL100A_J110123.5+574040,green,165.34799,57.677671,0.00037,0.000198,709.104,31.861,null,65.226,24.449,19.029,0.778294,f,1342233312
876,0.696797,11.69951,163.46,57.12,VFID0875,NGC3440,HPESL100A_J105349.5+570708,green,163.456463,57.118891,0.000161,0.000087,620.309,34.746,17.008,89.566,15.792,10.071,0.637767,f,1342184480
885,1.872775,-68.055495,158.37,57.05,VFID0884,PGC031207,HPESL100A_J103328.2+570310,green,158.367619,57.052855,0.000203,0.00011,630.657,53.21,null,49.606,19.462,12.815,0.658449,f,1342233312
895,13.720755,94.391857,163.65,56.99,VFID0894,NGC3445,HPESL160A_J105437.3+565923,red,163.655733,56.989813,0.0002,0.000109,1380.663,9.447,7.868,178.137,27.305,null,0,f,1342233312
937,1.904167,-144.193389,228.97,56.33,VFID0936,NGC5907,HPESL160A_J151553.4+561943,red,228.972592,56.328722,0.000038,0.000021,15816.617,29.158,8.208,1347.966,53.255,13.998,0.262852,f,1342220804
949,12.417978,-17.52699,175.23,56.20,VFID0948,NGC3794,HPESL100A_J114053.6+561220,green,175.223349,56.205494,0.000581,0.000323,347.635,8.012,null,89.726,14.235,null,0,f,1342255868
955,39.017322,33.126193,161.94,56.09,VFID0954,UGC05888,HPESL160A_J104748.2+560602,red,161.951158,56.10044,0.000657,0.000367,112.952,6.121,2.423,39.283,52.543,null,0,f,1342233312
957,2.676348,-46.871872,177.31,56.08,VFID0956,NGC3898,HPESL100A_J114915.0+560506,green,177.312795,56.08487,0.000129,0.000072,375.095,15.507,15.798,82.507,16.109,7.8,0.484195,f,1342255866
961,19.133453,-136.087112,161.34,55.96,VFID0960,NGC3353,HPESL070A_J104520.8+555724,blue,161.336727,55.956536,0.000164,0.000092,2016.332,6.092,3.198,281.895,18.696,null,0,f,1342195618
977,2.243006,171.600133,226.62,55.76,VFID0976,NGC5866,HPESL160A_J150629.5+554545,red,226.623145,55.762603,0.000016,0.000009,11527.164,38.53,31.85,811.862,30.984,10.949,0.353385,t,1342202963
986,32.246746,-17.088438,150.49,55.68,VFID0985,NGC3079,HPESL100A_J100156.9+554119,green,150.487079,55.688525,0.000001,0.000001,29032.763,3.646,null,17318.393,22.102,9.254,0.418713,t,1342231542
1019,1.682048,177.21692,178.94,55.32,VFID1018,NGC3972,HPESL070A_J115545.1+551913,blue,178.937933,55.32026,0.000012,0.000007,511.876,5.964,null,201.058,13.707,7.069,0.515714,t,1342221588
1025,26.930655,132.658735,143.50,55.25,VFID1024,[MU2012]J0934+55A,HPESL100A_J093402.0+551427,green,143.508589,55.240855,0.000602,0.000343,26.673,3.438,3.816,29.067,13.855,null,0,f,1342209356
1026,0.992337,-30.606852,143.51,55.24,VFID1025,UGCA166,HPESL100A_J093402.0+551427,green,143.508589,55.240855,0.000602,0.000343,26.673,3.438,3.816,29.067,13.855,null,0,f,1342209356
1036,10.272252,-155.593027,179.12,55.13,VFID1035,NGC3982,HPESL160A_J115627.6+550722,red,179.115127,55.122662,0.000136,0.000078,7213.311,24.74,11.697,619.253,43.147,null,0,f,1342257149
1038,9.445318,-112.801457,211.85,55.10,VFID1037,NGC5486,HPESL100A_J140723.9+550607,green,211.849811,55.101996,0.000436,0.00025,300.442,7.238,null,92.71,20.404,null,0,f,1342259352
1041,12.869644,100.993122,176.06,55.03,VFID1040,NGC3846A,HPESL100A_J114416.2+550203,green,176.067847,55.034304,0.000377,0.000216,289.156,6.129,null,88.127,14.126,null,0,f,1342255870
1047,0.570708,20.288767,211.80,55.00,VFID1046,NGC5485,HPESL160A_J140711.3+550006,red,211.797375,55.001775,0.000124,0.000071,694.772,23.859,23.516,47.434,25.608,12.489,0.487708,f,1342237180
1082,31.044346,121.520142,183.54,54.53,VFID1081,NGC4194,HPESL070A_J121412.6+543119,blue,183.552745,54.521964,0.000515,0.000299,6065.812,0.619,null,4041.615,20.528,null,0,f,1342233545
1098,3.128482,-15.268255,163.66,54.31,VFID1097,NGC3448,HPESL160A_J105439.3+541821,red,163.663784,54.305952,0.000045,0.000026,5899.725,37.334,21.678,384.085,24.224,13.838,0.571259,f,1342232409
1099,37.784791,-16.926658,174.20,54.29,VFID1098,NGC3756,HPESL160A_J113646.7+541813,red,174.194887,54.303631,0.000223,0.00013,1411.42,13.639,3.634,151.39,41.004,null,0,f,1342255872
1118,15.969181,26.08172,161.83,54.04,VFID1117,UGC05883,HPESL070A_J104720.0+540230,blue,161.833722,54.041764,0.000448,0.000263,82.632,6.774,3.898,30.334,12.743,null,0,f,1342233422
1157,2.0053,74.853361,214.99,53.47,VFID1156,PGC051217,HPESL100A_J141957.9+532813,green,214.991282,53.470264,0.000461,0.000274,119.614,19.766,9.297,29.901,21.763,8.378,0.384983,f,1342190310
1174,1.377005,20.567127,170.26,53.17,VFID1173,NGC3631,HPESL160A_J112102.9+531012,red,170.262224,53.169914,0.00011,0.000066,7706.332,50.831,17.966,352.1,29.918,24.068,0.804474,f,1342255696
1176,25.325283,19.633764,173.46,53.13,VFID1175,NGC3729,HPESL100A_J113350.3+530757,green,173.4598,53.132472,0.000069,0.000042,1677.445,5.726,null,792.927,16.158,null,0,f,1342255876
1183,0.932066,106.95811,173.15,53.07,VFID1182,NGC3718,HPESL160A_J113234.9+530404,red,173.145612,53.067824,0.000118,0.000071,1379.336,15.413,5.408,164.728,39.621,13.207,0.333325,f,1342231243
1212,14.605584,158.831862,162.27,52.34,VFID1211,PGC032356,HPESL070A_J104905.6+521954,blue,162.273432,52.331716,0.000388,0.000237,171.862,12.428,3.002,21.773,13.333,null,0,f,1342195827
1213,27.990877,116.859785,178.45,52.33,VFID1212,NGC3953,HPESL100A_J115351.7+521923,green,178.465573,52.323174,0.000259,0.000158,409.587,4.626,null,340.274,28.596,null,0,f,1342255880
1275,22.458096,73.059349,140.51,50.98,VFID1274,NGC2841,HPESL100A_J092204.9+505842,green,140.520544,50.978435,0.000181,0.000114,413.154,6.125,2.903,130.494,23.919,9.16,0.382953,f,1342207167
1292,22.557819,164.959466,211.59,50.73,VFID1291,NGC5480,HPESL070A_J140622.2+504309,blue,211.592492,50.719052,0.000083,0.000053,1475.107,3.919,null,438.608,19.836,15.697,0.791362,f,1342257493
1351,0.677939,139.403134,204.01,49.96,VFID1350,IC0902,HPESL100A_J133601.2+495738,green,204.005227,49.960645,0.000031,0.00002,1932.035,52.885,16.265,126.918,15.331,8.14,0.530926,f,1342258520
1375,30.627777,-29.901768,181.54,49.58,VFID1374,NGC4100,HPESL100A_J120606.9+493525,green,181.529109,49.590147,0.000069,0.000045,2376.636,1.64,null,3558.484,15.426,10.402,0.674359,f,1342256176
1448,1.753794,14.029097,219.05,48.58,VFID1447,NGC5693,HPESL100A_J143611.2+483508,green,219.04679,48.585447,0.000314,0.000208,254.124,12.953,4.893,83.499,17.158,9.439,0.550101,f,1342197280
1452,1.602203,-82.997454,219.26,48.54,VFID1451,NGC5700,HPESL100A_J143701.4+483242,green,219.255906,48.544981,0.000425,0.000282,503.254,34.923,null,64.728,18.376,11.165,0.607617,f,1342197280
1546,3.100123,-53.718722,184.74,47.30,VFID1545,NGC4258,HPESL070A_J121857.3+471816,blue,184.738912,47.304391,0.000027,0.000019,3323.269,11.909,null,529.264,14.513,10.301,0.709774,f,1342220105
1551,17.40127,-31.474894,202.47,47.20,VFID1550,NGC5194,HPESL100A_J132951.8+471157,green,202.465833,47.199273,0.000047,0.000032,18885.314,12.349,null,3663.564,21.449,null,0,f,1342178524
1579,36.168612,-19.752121,202.15,46.77,VFID1578,PGC2286797,HPESL160A_J132834.9+464638,red,202.145698,46.777272,0.000827,0.000567,106.792,3.058,3.072,63.777,25.985,null,0,f,1342178528
1610,2.402389,74.0667,182.49,46.46,VFID1609,NGC4144,HPESL100A_J120958.7+462727,green,182.494579,46.457514,0.000199,0.000137,660.795,9.689,null,149.391,16.662,null,0,f,1342247294
1644,6.431206,-34.556842,206.60,46.11,VFID1643,NGC5301,HPESL100A_J134624.3+460631,green,206.601304,46.108629,0.000078,0.000054,2525.468,16.034,null,370.408,26.282,12.285,0.467425,f,1342259350
1671,21.599311,168.841593,123.50,45.74,VFID1670,IC2233,HPESL100A_J081359.2+454409,green,123.49703,45.735937,0.000177,0.000124,221.388,7.357,5.821,73.395,15.169,7.255,0.478287,f,1342245686
1730,7.139184,35.742068,187.19,44.86,VFID1729,NGC4460,HPESL100A_J122845.9+445157,green,187.19149,44.865813,0.000022,0.000016,3725.061,91.988,null,119.993,15.861,null,0,f,1342257131
1755,31.4236,-154.72419,180.79,44.53,VFID1754,NGC4051,HPESL160A_J120308.4+443124,red,180.785189,44.523322,0.000139,0.000099,1112.811,4.163,2.01,573.914,38.619,14.276,0.369663,f,1342221164
1777,1.06451,63.587908,178.21,44.12,VFID1776,NGC3938,HPESL100A_J115249.4+440715,green,178.20622,44.120905,0.000145,0.000104,1435.013,18.565,null,228.263,30.648,null,0,f,1342210437
1784,22.392148,26.255154,198.05,44.04,VFID1783,NGC5023,HPESL160A_J131212.6+440236,red,198.052686,44.04328,0.000302,0.000217,484.152,10.201,10.019,69.663,39.647,15.802,0.39858,f,1342246144
1787,3.10532,13.725849,179.63,43.95,VFID1786,NGC4013,HPESL160A_J115831.4+435652,red,179.63096,43.94765,0.00002,0.000015,8546.926,24.53,9.463,902.496,29.118,11.539,0.396268,f,1342220968
1804,0.415956,-147.143702,183.32,43.70,VFID1803,NGC4183,HPESL100A_J121316.8+434154,green,183.320274,43.698403,0.000037,0.000027,939.779,18.644,8.382,152.183,14.023,8.599,0.613191,f,1342256168
1805,15.654455,129.718842,182.37,43.69,VFID1804,NGC4138,HPESL160A_J120930.8+434057,red,182.378668,43.682493,0.000147,0.000106,2204.223,13.787,4.457,274.972,46.136,null,0,f,1342235139
1893,18.583625,-162.936606,221.05,42.63,VFID1892,UGC09497,HPESL160A_J144412.3+423726,red,221.051417,42.623925,0.000566,0.000417,110.853,5.18,5.222,19.027,25.994,null,0,t,1342210958
1929,3.296938,-166.513035,228.76,42.05,VFID1928,NGC5899,HPESL160A_J151503.1+420256,red,228.763272,42.048999,0.000088,0.000065,5408.791,20.539,7.288,531.877,40.197,null,0,f,1342235394
1931,0.472926,-63.193911,198.96,42.03,VFID1930,NGC5055,HPESL070A_J131549.2+420146,blue,198.955239,42.029337,0.000014,0.00001,10018.252,14.688,null,929.011,11.573,7.576,0.654639,f,1342210476
1935,4.337835,101.2663,139.38,41.99,VFID1934,NGC2799,HPESL160A_J091731.3+415938,red,139.380644,41.993936,0.000046,0.000034,835.398,22.228,14.632,64.867,25.424,11.366,0.447054,t,1342207162
1940,3.843367,5.776744,139.34,41.91,VFID1939,UGC04904,HPESL160A_J091721.7+415443,red,139.340484,41.912008,0.000142,0.000106,347.477,13.96,11.024,31.921,27.391,14.624,0.533877,t,1342207162
1954,36.571246,102.793059,206.33,41.71,VFID1953,NGC5290,HPESL070A_J134522.3+414237,blue,206.343055,41.710222,0.00026,0.000194,353.349,2.363,null,289.79,18.386,null,0,f,1342237376
2000,0.631151,-123.035031,190.47,41.27,VFID1999,NGC4625,HPESL100A_J124152.6+411626,green,190.469452,41.273775,0.000093,0.00007,1437.624,22.441,null,145.66,14.228,null,0,f,1342210469
2067,33.211148,-153.654076,208.34,40.36,VFID2066,NGC5350,HPESL160A_J135320.3+402120,red,208.334691,40.355669,0.00033,0.000252,1813.301,11.948,3.888,263.524,57.087,null,0,f,1342259346
2107,4.63313,-2.15896,248.63,39.95,VFID2106,PGC2158182,HPESL160A_J163432.2+395651,red,248.63452,39.947492,0.000805,0.000617,170.959,5.057,5.695,59.876,30.266,null,0,f,1342214712
2144,18.490027,124.945395,215.18,39.69,VFID2143,NGC5582,HPESL100A_J142044.4+394126,green,215.18512,39.690645,0.000427,0.000329,13.804,2.294,4.289,29.607,16.19,null,0,f,1342259342
2158,10.661004,57.296605,216.34,39.54,VFID2157,UGC09242,HPESL100A_J142521.8+393228,green,216.340871,39.541094,0.000433,0.000334,98.192,3.685,4.158,68.776,23.191,null,0,f,1342259340
2255,2.877061,-7.76713,206.94,38.30,VFID2254,NGC5303,HPESL160A_J134744.9+381819,red,206.937254,38.305371,0.00008,0.000062,4334.284,52.884,32.151,174.573,24.362,null,0,f,1342259338
2314,1.732189,-34.693097,159.07,37.32,VFID2313,NGC3294,HPESL160A_J103616.1+371930,red,159.06736,37.32505,0.000054,0.000043,4657.076,14.373,4.233,700.537,35.334,20.247,0.573021,f,1342255451
2325,0.489721,-88.149205,139.99,37.19,VFID2324,IC2461,HPESL160A_J091957.9+371128,red,139.991582,37.191224,0.000048,0.000038,2796.752,32.813,11.44,187.817,32.279,10.647,0.329839,f,1342244256
2369,1.139257,-75.829775,198.36,36.59,VFID2368,NGC5033,HPESL160A_J131327.4+363538,red,198.364247,36.593844,0.000031,0.000025,20038.541,26.007,11.243,2009.778,42.847,17.903,0.417828,f,1342233077
2373,0.39612,-82.040758,175.33,36.55,VFID2372,NGC3813,HPESL160A_J114118.6+363248,red,175.327592,36.546784,0.000048,0.000039,10426.509,24.117,11.564,960.956,45.918,19.986,0.435259,f,1342256156
2388,34.167141,-65.679404,174.14,36.41,VFID2387,NGC3755,HPESL100A_J113630.7+362451,green,174.128297,36.414223,0.000328,0.000264,263.944,4.408,3.394,94.13,18.47,null,0,f,1342256154
2409,2.646829,45.937267,213.89,36.23,VFID2408,NGC5529,HPESL160A_J141534.2+361338,red,213.892675,36.22718,0.000011,0.000009,3140.269,19.523,10.893,335.215,43.223,11.653,0.269597,t,1342224776
2410,37.563093,-113.935848,213.93,36.22,VFID2409,SDSSJ141543.48+361319.1,HPESL160A_J141540.6+361304,red,213.919279,36.217733,0.000047,0.000038,1411.646,14.116,10.298,205.8,25.528,12.436,0.487152,f,1342222509
2414,30.925422,-41.214827,213.83,36.20,VFID2413,PGC050925,HPESL100A_J141517.4+361231,green,213.822688,36.208717,0.000109,0.000088,18.405,4.55,5.808,8.954,14.193,7.975,0.561927,t,1342224776
