VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,prefix
VFID0067,161.7916245,72.8396667,2827.5,63.84416961669922,True,NGC3348,32216,0,0,0,NGC 3348,True,False,False,False,VFID0067,False,False,False,True,True,False,VFID0067-NGC3348
VFID0068,161.92425,72.8218611,1008.0,20.376108169555664,True,PGC032213,32213,0,0,0,MCG +12-10-079,True,False,False,False,VFID0068,False,False,False,False,True,False,VFID0068-MCG+12-10-079
VFID0069,116.24884949999999,72.8109551,2480.0,29.38469886779785,True,UGC03975,21698,0,0,0,UGC 03975,True,False,False,False,VFID0069,False,False,False,True,True,False,VFID0069-UGC03975
VFID0070,122.746833,72.7944444,3150.0,35.00428771972656,True,UGC04242,22947,0,0,0,UGC 04242,True,False,False,False,VFID0070,False,False,False,True,True,False,VFID0070-UGC04242
VFID0071,257.987931,72.5820128,910.0,18.928720474243164,True,PGC2750394,2750394,634128,147798,0,CGCG 339-033,True,True,True,False,VFID0071,False,False,False,False,True,True,VFID0071-CGCG339-033
VFID0072,112.0477995,72.573013,3050.3,23.884780883789062,True,UGC03838,21065,0,0,0,UGC 03838,True,False,False,False,VFID0072,False,False,False,True,True,False,VFID0072-UGC03838
VFID0073,166.69779,72.5685398,2598.6,57.427677154541016,True,NGC3516,33623,0,0,0,NGC 3516,True,False,False,False,VFID0073,False,False,False,True,True,False,VFID0073-NGC3516
VFID0074,112.736253,72.5175576,2615.8,39.18512725830078,True,UGC03864,21189,0,0,0,UGC 03864,True,False,False,False,VFID0074,False,False,False,True,True,False,VFID0074-UGC03864
VFID0075,146.696916,72.4505833,2100.0,12.797385215759277,True,PGC028070,28070,0,0,0,MRK 0120,True,False,False,False,VFID0075,False,False,False,False,True,False,VFID0075-MRK0120
VFID0076,256.1414385,72.4466523,1071.5,54.09053039550781,True,UGC10713,59551,634027,147690,0,UGC 10713,True,True,True,False,VFID0076,False,False,False,True,True,True,VFID0076-UGC10713
VFID0077,162.124125,72.4250556,2729.0,41.79470443725586,True,NGC3364,32314,0,0,0,NGC 3364,True,False,False,False,VFID0077,False,False,False,True,True,False,VFID0077-NGC3364
VFID0078,257.554614,72.4106026,1170.3,36.234413146972656,True,IC1251,59735,634104,147774,0,IC 1251,True,True,True,False,VFID0078,False,False,False,True,True,True,VFID0078-IC1251
VFID0079,257.889294,72.4019766,1205.3,27.36032485961914,True,IC1254,59783,634121,147791,0,IC 1254,True,True,True,False,VFID0079,False,False,False,True,True,True,VFID0079-IC1254
VFID0080,258.6611355,72.3987504,1327.8,55.862613677978516,True,UGC10791,59908,634177,147849,0,UGC 10791,True,True,True,False,VFID0080,False,False,False,True,True,True,VFID0080-UGC10791
VFID0081,257.60373749999997,72.3043878,1215.0,91.22654724121094,True,NGC6340,59742,634108,147778,0,NGC 6340,True,True,True,False,VFID0081,False,False,False,True,True,True,VFID0081-NGC6340
VFID0082,147.59195250000002,72.279194,1323.0,108.42295837402344,True,NGC2985,28316,0,0,0,NGC 2985,True,False,False,False,VFID0082,False,False,False,True,True,False,VFID0082-NGC2985
VFID0083,191.83798199999998,72.2138577,1629.5,27.613487243652344,True,PGC091229,91229,0,0,0,FGC 1501,True,False,False,False,VFID0083,False,False,False,False,True,False,VFID0083-FGC1501
VFID0084,148.91891700000002,72.2036253,1058.3,100.48963165283203,True,NGC3027,28636,0,0,0,NGC 3027,True,False,False,False,VFID0084,False,False,False,True,True,False,VFID0084-NGC3027
VFID0085,151.3155495,72.2004713,1639.0,29.793481826782227,True,UGC05415,29264,0,0,0,UGC 05415,True,False,False,False,VFID0085,False,False,False,True,True,False,VFID0085-UGC05415
VFID0086,150.480417,72.1702778,1995.2,55.991390228271484,True,NGC3065,29046,0,0,0,NGC 3065,True,False,False,False,VFID0086,False,False,False,True,True,False,VFID0086-NGC3065
VFID0087,107.9278755,72.1691944,2915.1,52.495399475097656,True,UGC03701,20362,0,0,0,UGC 03701,True,False,False,False,VFID0087,False,False,False,True,True,False,VFID0087-UGC03701
VFID0088,150.54541650000002,72.12525,2104.7,33.505897521972656,True,NGC3066,29059,0,0,0,NGC 3066,True,False,False,False,VFID0088,False,False,False,True,True,False,VFID0088-NGC3066
VFID0089,264.2034585,72.0889444,2486.9,62.67888259887695,True,NGC6434,60573,0,0,0,NGC 6434,True,False,False,False,VFID0089,False,False,False,True,True,False,VFID0089-NGC6434
VFID0090,147.95833349999998,72.0833333,1181.0,30.0,False,PGC028411,28411,0,0,0,GALEXASC J095150.73+720459.3,True,False,False,False,VFID0090,False,False,False,False,True,False,VFID0090-GALEXASCJ095150.73+720459.3
VFID0091,118.24879200000001,72.0412778,2487.3,28.45255470275879,True,UGC04050,22067,0,0,0,UGC 04050,True,False,False,False,VFID0091,False,False,False,True,True,False,VFID0091-UGC04050
VFID0092,107.84397299999999,71.8363893,3139.5,65.63285064697266,True,UGC03697,20348,0,0,0,UGC 03697,True,False,False,False,VFID0092,False,False,False,True,True,False,VFID0092-UGC03697
VFID0093,190.25312250000002,71.811537,1652.0,25.652002334594727,True,PGC042517,42517,0,0,0,CGCG 335-020,True,False,False,False,VFID0093,False,False,False,True,True,False,VFID0093-CGCG335-020
VFID0094,163.017459,71.7730278,1249.0,34.52401351928711,True,UGC05955,32610,0,0,0,UGC 05955,True,False,False,False,VFID0094,False,False,False,True,True,False,VFID0094-UGC05955
VFID0095,108.1362915,71.7505278,3059.0,55.60594940185547,True,UGC03714,20398,0,0,0,UGC 03714,True,False,False,False,VFID0095,False,False,False,True,True,False,VFID0095-UGC03714
VFID0096,224.440254,71.6823693,447.0,55.86260986328125,True,NGC5832,53469,0,0,0,NGC 5832,True,False,False,False,VFID0096,False,False,False,True,True,False,VFID0096-NGC5832
VFID0097,108.280209,71.6703333,3088.0,17.952348709106445,True,PGC020412,20412,0,0,0,KUG 0707+717,True,False,False,False,VFID0097,False,False,False,True,True,False,VFID0097-KUG0707+717
VFID0098,192.80007,71.6367535,1745.1,47.76626205444336,True,NGC4749,43527,0,0,0,NGC 4749,True,False,False,False,VFID0098,False,False,False,True,True,False,VFID0098-NGC4749
VFID0099,110.6442915,71.5989722,2873.4,54.21522521972656,True,UGC03804,20844,0,0,0,UGC 03804,True,False,False,False,VFID0099,False,False,False,True,True,False,VFID0099-UGC03804
VFID0100,173.641458,71.5400833,2805.8,21.633224487304688,True,UGC06552,35767,626896,139785,0,UGC 06552,True,True,True,False,VFID0100,False,False,False,True,True,True,VFID0100-UGC06552
VFID0101,163.929708,71.4883333,1281.0,23.82984733581543,True,PGC032818,32818,0,0,0,CGCG 333-063,True,False,False,False,VFID0101,False,False,False,False,True,False,VFID0101-CGCG333-063
VFID0102,191.4016665,71.3187222,1200.0,14.161890983581543,True,PGC043010,43010,0,0,0,UGCA 296,True,False,False,False,VFID0102,False,False,False,False,True,False,VFID0102-UGCA296
VFID0103,228.077088,71.265498,1534.5,20.423080444335938,True,PGC091421,91421,0,0,0,FGC 1866,True,False,False,False,VFID0103,False,False,False,False,True,False,VFID0103-FGC1866
VFID0104,156.93825,71.237,1126.2,25.652002334594727,True,UGC05658,30778,0,0,0,UGC 05658,True,False,False,False,VFID0104,False,False,False,False,True,False,VFID0104-UGC05658
VFID0105,106.847916,71.1925,3260.0,26.614681243896484,True,UGC03657,20184,0,0,0,UGC 03657,True,False,False,False,VFID0105,False,False,False,True,True,False,VFID0105-UGC03657
VFID0106,198.15562500000001,71.1913504,3142.0,36.31794357299805,True,UGC08305,45879,0,0,0,UGC 08305,True,False,False,False,VFID0106,False,False,False,True,True,False,VFID0106-UGC08305
VFID0107,191.788029,71.1762054,1672.4,30.0,True,NGC4693,43141,0,0,0,NGC 4693,True,False,False,False,VFID0107,False,False,False,True,True,False,VFID0107-NGC4693
