VFID,RA,DEC,vr,radius,radius_flag,objname,PGC,NSAIDV1,NSAIDV0,AGC,NEDname,HLflag,NSAV1flag,NSAV0flag,A100flag,VFID_V1,COflag,HAflag,HAobsflag,Z0MGSflag,Steerflag,unwiseflag,Herschelflag,prefix
VFID4507,190.9858845,13.1265165,1043.1,141.6189117,TRUE,NGC4654,42857,693148,169944,7902,NGC 4654,TRUE,TRUE,TRUE,TRUE,VFID4511,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4507-NGC4654
VFID4510,186.5316225,13.1131309,233.6999969,105.468132,TRUE,NGC4402,40644,0,0,0,NGC 4402,TRUE,FALSE,FALSE,FALSE,VFID4514,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID4510-NGC4402
VFID4538,183.820107,13.0239151,702.1,140.6440125,TRUE,NGC4206,39183,325098,66504,7260,NGC 4206,TRUE,TRUE,TRUE,TRUE,VFID4542,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4538-NGC4206
VFID4641,186.4448235,12.6620998,2514.7,161.4809418,TRUE,NGC4388,40581,326132,66736,7520,NGC 4388,TRUE,TRUE,TRUE,TRUE,VFID4646,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4641-NGC4388
VFID4723,187.706364,12.3905194,1283.1,213.3640594,TRUE,NGC4486,41361,0,141541,0,MESSIER 087,TRUE,FALSE,TRUE,FALSE,VFID4737,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID4723-MESSIER087
VFID4731,191.189316,12.3516941,848.9,66.85305786,TRUE,IC3718,42944,629051,142154,7920,IC 3718,TRUE,TRUE,TRUE,TRUE,VFID4745,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4731-IC3718
VFID4778,186.006084,12.2046451,2305.5,47.43744278,TRUE,NGC4351,40306,693089,169885,7476,NGC 4351,TRUE,TRUE,TRUE,TRUE,VFID4792,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4778-NGC4351
VFID4810,192.980109,12.0831626,1779.8,60.97071075,TRUE,NGC4746,43601,693158,169954,8007,NGC 4746,TRUE,TRUE,TRUE,TRUE,VFID4824,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4810-NGC4746
VFID4816,166.7640195,12.0601076,1550,49.21769333,TRUE,UGC06169,33642,657731,159300,6169,UGC 06169,TRUE,TRUE,TRUE,TRUE,VFID4830,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4816-UGC06169
VFID4853,190.301214,11.8864689,2256.5,85.92533875,TRUE,NGC4607,42544,628809,141902,7843,NGC 4607,TRUE,TRUE,TRUE,TRUE,VFID4869,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4853-NGC4607
VFID4861,189.431379,11.8181349,1516.9,150.3561707,TRUE,NGC4579,42168,0,141753,7796,MESSIER 058,TRUE,FALSE,TRUE,TRUE,VFID4877,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4861-MESSIER058
VFID4865,185.660499,11.8009815,1434,114.0568161,TRUE,NGC4313,40105,325137,66517,7445,NGC 4313,TRUE,TRUE,TRUE,TRUE,VFID4881,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4865-NGC4313
VFID4886,160.9904175,11.7036846,777.9,216.8309479,TRUE,NGC3351,32007,321223,65825,5850,MESSIER 095,TRUE,TRUE,TRUE,TRUE,VFID4902,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID4886-MESSIER095
VFID4949,171.1085745,11.3421441,1060.3,103.3049774,TRUE,NGC3666,35043,659830,159770,6420,NGC 3666,TRUE,TRUE,TRUE,TRUE,VFID4965,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4949-NGC3666
VFID4961,189.136434,11.2579573,2261.1,82.05805969,TRUE,NGC4567,42064,326322,66785,7777,NGC 4567,TRUE,TRUE,TRUE,TRUE,VFID4977,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4961-NGC4567
VFID4962,189.1428405,11.2389012,2236.2,129.1579895,TRUE,NGC4568,42069,668883,162105,0,NGC 4568,TRUE,TRUE,TRUE,FALSE,VFID4978,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID4962-NGC4568
VFID5012,183.1928955,10.8657101,374.7999878,139.675827,TRUE,NGC4178,38943,0,0,0,NGC 4178,TRUE,FALSE,FALSE,FALSE,VFID5028,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID5012-NGC4178
VFID5030,167.4830025,10.7208373,1581.5,52.13402557,TRUE,NGC3547,33866,626031,138862,6209,NGC 3547,TRUE,TRUE,TRUE,TRUE,VFID5046,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5030-NGC3547
VFID5075,182.040018,10.3789045,1651.8,47.54679489,TRUE,NGC4119,38527,238372,48849,0,NGC 4119,TRUE,TRUE,TRUE,FALSE,VFID5091,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5075-NGC4119
VFID5154,218.1827715,9.8914264,1373.7,77.11186981,TRUE,NGC5669,51973,631891,145251,9353,NGC 5669,TRUE,TRUE,TRUE,TRUE,VFID5170,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5154-NGC5669
VFID5176,193.461819,9.7100253,2844.4,55.73413467,TRUE,NGC4779,43837,671507,162547,8022,NGC 4779,TRUE,TRUE,TRUE,TRUE,VFID5192,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5176-NGC4779
VFID5194,183.8770185,9.5849306,607.3,45.09425735,TRUE,NGC4207,39206,693058,169853,7268,NGC 4207,TRUE,TRUE,TRUE,TRUE,VFID5210,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5194-NGC4207
VFID5222,186.7987005,9.4204423,440.7999878,91.2265625,TRUE,NGC4424,40809,0,0,0,NGC 4424,TRUE,FALSE,FALSE,FALSE,VFID5238,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID5222-NGC4424
VFID5223,172.1000925,9.4076564,1709.5,96.63206482,TRUE,NGC3692,35314,660369,159895,6474,NGC 3692,TRUE,TRUE,TRUE,TRUE,VFID5239,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5223-NGC3692
VFID5236,185.6759565,9.3325949,1251.5,74.15172577,TRUE,NGC4316,40119,693085,169881,7447,NGC 4316,TRUE,TRUE,TRUE,TRUE,VFID5252,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5236-NGC4316
VFID5241,148.706706,9.2714039,1484.2,63.25884628,TRUE,NGC3049,28590,253614,51939,5325,NGC 3049,TRUE,TRUE,TRUE,TRUE,VFID5257,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5241-NGC3049
VFID5244,187.16892,9.2589166,859.5,40.56217575,TRUE,NGC4451,41050,693111,169907,7600,NGC 4451,TRUE,TRUE,TRUE,TRUE,VFID5260,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5244-NGC4451
VFID5257,188.4154305,9.1748628,2320,105.225563,TRUE,NGC4522,41729,668561,162012,7711,NGC 4522,TRUE,TRUE,TRUE,TRUE,VFID5273,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5257-NGC4522
VFID5276,185.5235505,9.043709,1058.6,103.0673828,TRUE,NGC4307,40033,239029,49010,7431,NGC 4307,TRUE,TRUE,TRUE,TRUE,VFID5292,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5276-NGC4307
VFID5292,204.3834195,8.885176,1152.1,122.2140808,TRUE,NGC5248,48130,0,143701,8616,NGC 5248,TRUE,FALSE,TRUE,TRUE,VFID5308,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,VFID5292-NGC5248
VFID5324,188.376054,8.6547153,1221.9,70.0037384,TRUE,NGC4519,41719,330896,67485,7709,NGC 4519,TRUE,TRUE,TRUE,TRUE,VFID5340,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5324-NGC4519
VFID5405,193.683111,8.0531055,2524.3,31.70452499,TRUE,NGC4791,43950,376568,77218,221597,NGC 4791,TRUE,TRUE,TRUE,TRUE,VFID5421,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5405-NGC4791
VFID5429,186.694584,7.9188501,1390.8,47.11088562,TRUE,NGC4416,40743,693100,169896,7541,NGC 4416,TRUE,TRUE,TRUE,TRUE,VFID5446,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5429-NGC4416
VFID5432,193.847592,7.9099023,2800.9,25.24185371,TRUE,UGC08045,44033,629402,142524,8045,UGC 08045,TRUE,TRUE,TRUE,TRUE,VFID5449,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5432-UGC08045
VFID5436,189.5868825,7.8914988,1774.2,50.2482872,TRUE,UGC07802,42230,693134,169930,7802,UGC 07802,TRUE,TRUE,TRUE,TRUE,VFID5453,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5436-UGC07802
VFID5474,188.512545,7.6992614,577.1,208.5072937,TRUE,NGC4526,41772,0,162027,7718,NGC 4526,TRUE,FALSE,TRUE,TRUE,VFID5491,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5474-NGC4526
VFID5477,185.03115,7.6916818,2617.4,40.19029999,TRUE,NGC4276,39765,329574,67272,7385,NGC 4276,TRUE,TRUE,TRUE,TRUE,VFID5494,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5477-NGC4276
VFID5508,186.2288475,7.4447009,773.2,48.54240036,TRUE,NGC4370,40439,667614,161685,0,NGC 4370,TRUE,TRUE,TRUE,FALSE,VFID5525,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5508-NGC4370
VFID5526,186.7972005,7.263,932.6,82.05805969,TRUE,UGC07557,40807,593858,141389,7557,UGC 07557,TRUE,TRUE,TRUE,TRUE,VFID5543,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5526-UGC07557
VFID5532,186.4272375,7.2171379,995,58.49533844,TRUE,IC3322A,40566,330483,67417,7513,IC 3322A,TRUE,TRUE,TRUE,TRUE,VFID5549,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5532-IC3322A
VFID5544,166.7359245,7.1739099,1417.8,71.3052063,TRUE,NGC3526,33635,657717,159297,6167,NGC 3526,TRUE,TRUE,TRUE,TRUE,VFID5561,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5544-NGC3526
VFID5546,188.6646,7.1601572,594.1,41.79470444,TRUE,IC3521,41847,668667,162052,7736,IC 3521,TRUE,TRUE,TRUE,TRUE,VFID5563,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID5546-IC3521
VFID5573,183.262782,7.0389365,2175.6,43.36319351,TRUE,NGC4180,38964,329145,67221,7219,NGC 4180,TRUE,TRUE,TRUE,TRUE,VFID5590,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5573-NGC4180
VFID5582,185.911263,6.9540753,997.4,57.69275284,TRUE,NGC4343,40251,329512,67255,7465,NGC 4343,TRUE,TRUE,TRUE,TRUE,VFID5599,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5582-NGC4343
VFID5625,185.7199725,6.6799577,1543,36.99314499,TRUE,IC3229,40147,329478,67252,7448,IC 3229,TRUE,TRUE,TRUE,TRUE,VFID5642,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5625-IC3229
VFID5627,185.6625825,6.6773224,2373.3,27.36032486,TRUE,IC3225,40111,330043,67356,7441,IC 3225,TRUE,TRUE,TRUE,TRUE,VFID5644,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5627-IC3225
VFID5632,184.499817,6.6540945,733.7,43.86531448,TRUE,IC3115,39483,329616,67282,7333,NGC 4241,TRUE,TRUE,FALSE,TRUE,VFID5649,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5632-NGC4241
VFID5637,186.0309795,6.6080218,727.1,30.13847351,TRUE,IC3268,40321,628240,141282,7477,IC 3268,TRUE,TRUE,TRUE,TRUE,VFID5654,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,VFID5637-IC3268
VFID5652,188.580624,6.4680482,2013.6,74.83784485,TRUE,NGC4532,41811,0,0,7726,NGC 4532,TRUE,FALSE,FALSE,TRUE,VFID5669,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,VFID5652-NGC4532
