cntr_01,dist_x,pang_x,ra_01,dec_01,vfid_01,name,nameH,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid,vr,70micronsflag,100micronsflag
1351,0.677939,139.403134,204.01,49.96,VFID1350,IC0902,HPESL100A_J133601.2+495738,green,204.005227,49.960645,3.10E-05,2.00E-05,1932.035,52.885,16.265,126.918,15.331,8.14,0.530926,f,1342258520,1615.9,FALSE,TRUE
1375,30.627777,-29.901768,181.54,49.58,VFID1374,NGC4100,HPESL100A_J120606.9+493525,green,181.529109,49.590147,6.90E-05,4.50E-05,2376.636,1.64,null,3558.484,15.426,10.402,0.674359,f,1342256176,1115,FALSE,TRUE
1546,3.100123,-53.718722,184.74,47.3,VFID1545,NGC4258,HPESL070A_J121857.3+471816,blue,184.738912,47.304391,2.70E-05,1.90E-05,3323.269,11.909,null,529.264,14.513,10.301,0.709774,f,1342220105,454.2000122,TRUE,FALSE
1551,17.40127,-31.474894,202.47,47.2,VFID1550,NGC5194,HPESL100A_J132951.8+471157,green,202.465833,47.199273,4.70E-05,3.20E-05,18885.314,12.349,null,3663.564,21.449,null,0,f,1342178524,460.7999878,TRUE,FALSE
1610,2.402389,74.0667,182.49,46.46,VFID1609,NGC4144,HPESL100A_J120958.7+462727,green,182.494579,46.457514,0.000199,0.000137,660.795,9.689,null,149.391,16.662,null,0,f,1342247294,265.3999939,FALSE,TRUE
1644,6.431206,-34.556842,206.6,46.11,VFID1643,NGC5301,HPESL100A_J134624.3+460631,green,206.601304,46.108629,7.80E-05,5.40E-05,2525.468,16.034,null,370.408,26.282,12.285,0.467425,f,1342259350,1505.7,FALSE,TRUE
1671,21.599311,168.841593,123.5,45.74,VFID1670,IC2233,HPESL100A_J081359.2+454409,green,123.49703,45.735937,0.000177,0.000124,221.388,7.357,5.821,73.395,15.169,7.255,0.478287,f,1342245686,557.8,FALSE,TRUE
1730,7.139184,35.742068,187.19,44.86,VFID1729,NGC4460,HPESL100A_J122845.9+445157,green,187.19149,44.865813,2.20E-05,1.60E-05,3725.061,91.988,null,119.993,15.861,null,0,f,1342257131,487.3999939,FALSE,TRUE
1755,31.4236,-154.72419,180.79,44.53,VFID1754,NGC4051,HPESL160A_J120308.4+443124,red,180.785189,44.523322,0.000139,9.90E-05,1112.811,4.163,2.01,573.914,38.619,14.276,0.369663,f,1342221164,704.3,TRUE,TRUE
1777,1.06451,63.587908,178.21,44.12,VFID1776,NGC3938,HPESL100A_J115249.4+440715,green,178.20622,44.120905,0.000145,0.000104,1435.013,18.565,null,228.263,30.648,null,0,f,1342210437,808.2,TRUE,TRUE
1784,22.392148,26.255154,198.05,44.04,VFID1783,NGC5023,HPESL160A_J131212.6+440236,red,198.052686,44.04328,0.000302,0.000217,484.152,10.201,10.019,69.663,39.647,15.802,0.39858,f,1342246144,406.8999939,FALSE,TRUE
1787,3.10532,13.725849,179.63,43.95,VFID1786,NGC4013,HPESL160A_J115831.4+435652,red,179.63096,43.94765,2.00E-05,1.50E-05,8546.926,24.53,9.463,902.496,29.118,11.539,0.396268,f,1342220968,835.7,FALSE,TRUE
1804,0.415956,-147.143702,183.32,43.7,VFID1803,NGC4183,HPESL100A_J121316.8+434154,green,183.320274,43.698403,3.70E-05,2.70E-05,939.779,18.644,8.382,152.183,14.023,8.599,0.613191,f,1342256168,919.9,FALSE,TRUE
1805,15.654455,129.718842,182.37,43.69,VFID1804,NGC4138,HPESL160A_J120930.8+434057,red,182.378668,43.682493,0.000147,0.000106,2204.223,13.787,4.457,274.972,46.136,null,0,f,1342235139,875.5,TRUE,FALSE
1929,3.296938,-166.513035,228.76,42.05,VFID1928,NGC5899,HPESL160A_J151503.1+420256,red,228.763272,42.048999,8.80E-05,6.50E-05,5408.791,20.539,7.288,531.877,40.197,null,0,f,1342235394,2589.2,TRUE,FALSE
1931,0.472926,-63.193911,198.96,42.03,VFID1930,NGC5055,HPESL070A_J131549.2+420146,blue,198.955239,42.029337,1.40E-05,1.00E-05,10018.252,14.688,null,929.011,11.573,7.576,0.654639,f,1342210476,507.9,TRUE,TRUE
1935,4.337835,101.2663,139.38,41.99,VFID1934,NGC2799,HPESL160A_J091731.3+415938,red,139.380644,41.993936,4.60E-05,3.40E-05,835.398,22.228,14.632,64.867,25.424,11.366,0.447054,t,1342207162,1870,FALSE,TRUE
1954,36.571246,102.793059,206.33,41.71,VFID1953,NGC5290,HPESL070A_J134522.3+414237,blue,206.343055,41.710222,0.00026,0.000194,353.349,2.363,null,289.79,18.386,null,0,f,1342237376,2559.1,TRUE,FALSE
2000,0.631151,-123.035031,190.47,41.27,VFID1999,NGC4625,HPESL100A_J124152.6+411626,green,190.469452,41.273775,9.30E-05,7.00E-05,1437.624,22.441,null,145.66,14.228,null,0,f,1342210469,608.7,TRUE,TRUE
2067,33.211148,-153.654076,208.34,40.36,VFID2066,NGC5350,HPESL160A_J135320.3+402120,red,208.334691,40.355669,0.00033,0.000252,1813.301,11.948,3.888,263.524,57.087,null,0,f,1342259346,2320,TRUE,FALSE
,,,208.4398,40.33869,VFID2068,NGC5355,,,,,,,,,,,,,,,,,TRUE,FALSE
,,,208.3614,40.30275,VFID2073,NGC5354,,,,,,,,,,,,,,,,,TRUE,FALSE
,,,208.3614,40.28314,VFID2074,NGC5353,,,,,,,,,,,,,,,,,TRUE,FALSE
2144,18.490027,124.945395,215.18,39.69,VFID2143,NGC5582,HPESL100A_J142044.4+394126,green,215.18512,39.690645,0.000427,0.000329,13.804,2.294,4.289,29.607,16.19,null,0,f,1342259342,1436,FALSE,TRUE
2158,10.661004,57.296605,216.34,39.54,VFID2157,UGC09242,HPESL100A_J142521.8+393228,green,216.340871,39.541094,0.000433,0.000334,98.192,3.685,4.158,68.776,23.191,null,0,f,1342259340,1466.9,FALSE,TRUE
2255,2.877061,-7.76713,206.94,38.3,VFID2254,NGC5303,HPESL160A_J134744.9+381819,red,206.937254,38.305371,8.00E-05,6.20E-05,4334.284,52.884,32.151,174.573,24.362,null,0,f,1342259338,1412.3,FALSE,TRUE
2314,1.732189,-34.693097,159.07,37.32,VFID2313,NGC3294,HPESL160A_J103616.1+371930,red,159.06736,37.32505,5.40E-05,4.30E-05,4657.076,14.373,4.233,700.537,35.334,20.247,0.573021,f,1342255451,1568.8,FALSE,TRUE
2325,0.489721,-88.149205,139.99,37.19,VFID2324,IC2461,HPESL160A_J091957.9+371128,red,139.991582,37.191224,4.80E-05,3.80E-05,2796.752,32.813,11.44,187.817,32.279,10.647,0.329839,f,1342244256,2259.2,TRUE,FALSE
2369,1.139257,-75.829775,198.36,36.59,VFID2368,NGC5033,HPESL160A_J131327.4+363538,red,198.364247,36.593844,3.10E-05,2.50E-05,20038.541,26.007,11.243,2009.778,42.847,17.903,0.417828,f,1342233077,875.7,TRUE,FALSE
2373,0.39612,-82.040758,175.33,36.55,VFID2372,NGC3813,HPESL160A_J114118.6+363248,red,175.327592,36.546784,4.80E-05,3.90E-05,10426.509,24.117,11.564,960.956,45.918,19.986,0.435259,f,1342256156,1465.6,FALSE,TRUE
2388,34.167141,-65.679404,174.14,36.41,VFID2387,NGC3755,HPESL100A_J113630.7+362451,green,174.128297,36.414223,0.000328,0.000264,263.944,4.408,3.394,94.13,18.47,null,0,f,1342256154,1572.7,FALSE,TRUE
2409,2.646829,45.937267,213.89,36.23,VFID2408,NGC5529,HPESL160A_J141534.2+361338,red,213.892675,36.22718,1.10E-05,9.00E-06,3140.269,19.523,10.893,335.215,43.223,11.653,0.269597,t,1342224776,2875.8,TRUE,FALSE
2410,37.563093,-113.935848,213.93,36.22,VFID2409,SDSSJ141543.48+361319.1,HPESL160A_J141540.6+361304,red,213.919279,36.217733,4.70E-05,3.80E-05,1411.646,14.116,10.298,205.8,25.528,12.436,0.487152,f,1342222509,3067.3,TRUE,FALSE
2414,30.925422,-41.214827,213.83,36.2,VFID2413,PGC050925,HPESL100A_J141517.4+361231,green,213.822688,36.208717,0.000109,8.80E-05,18.405,4.55,5.808,8.954,14.193,7.975,0.561927,t,1342224776,2967.9,TRUE,FALSE
2499,1.56612,-56.061098,158.62,35.26,VFID2498,UGC05738,HPESL100A_J103429.7+351525,green,158.623795,35.256977,6.80E-05,5.60E-05,924.109,34.365,null,81.078,15.611,10.394,0.66579,f,1342255453,1523.8,FALSE,TRUE
2536,7.651375,127.958197,194.76,34.86,VFID2535,PGC044532,HPESL160A_J125902.3+345134,red,194.759729,34.859378,0.00026,0.000213,238.985,8.507,4.69,33.039,32.796,16.324,0.497748,t,1342211384,838.2,TRUE,TRUE
2545,2.567897,52.059573,162.1,34.71,VFID2544,NGC3381,HPESL160A_J104824.9+344243,red,162.10409,34.711841,8.20E-05,6.80E-05,1635.923,21.382,9.057,125.994,29.441,12.246,0.415941,f,1342255910,1628.1,FALSE,TRUE
2621,22.743142,104.226599,208.32,33.49,VFID2620,NGC5347,HPESL160A_J135319.5+332921,red,208.331504,33.489272,0.000221,0.000185,963.824,6.16,4.438,177.946,47.471,null,0,t,1342246878,2371.2,TRUE,TRUE
2666,30.003527,-123.60287,162.48,32.99,VFID2665,NGC3396,HPESL070A_J104953.0+325910,blue,162.471204,32.986211,6.90E-05,5.80E-05,2045.426,3.752,null,583.222,15.961,8.467,0.530474,f,1342221104,1694.2,TRUE,TRUE
2668,3.376631,-46.127077,162.46,32.98,VFID2667,NGC3395,HPESL160A_J104949.9+325901,red,162.457985,32.983483,1.20E-05,1.00E-05,4487.384,30.992,10.9,313.427,30.425,19.253,0.63281,t,1342221104,1619,TRUE,TRUE
2671,0.396111,177.845068,163.05,32.95,VFID2670,NGC3430,HPESL160A_J105211.4+325701,red,163.047525,32.950314,7.70E-05,6.50E-05,3656.79,20.91,6.496,343.998,25.04,19.866,0.793376,f,1342255914,1583.5,FALSE,TRUE
2678,31.293727,-63.259952,162.94,32.9,VFID2677,NGC3424,HPESL100A_J105144.1+325415,green,162.934059,32.90422,1.90E-05,1.60E-05,3228.424,2.312,5.565,4585.714,14.231,8.078,0.567657,f,1342255914,1530.1,FALSE,TRUE
2710,2.470636,38.773745,190.53,32.54,VFID2709,NGC4631,HPESL070A_J124207.9+323235,blue,190.533172,32.543052,1.00E-06,1.00E-06,18866.542,2.756,null,4074.19,14.834,6.992,0.47134,t,1342235130,615.8,TRUE,TRUE
2724,2.018253,-146.465069,179.38,32.33,VFID2723,NGC3991,HPESL100A_J115730.3+322002,green,179.376566,32.333782,1.30E-05,1.10E-05,2212.66,13.813,12.38,518.436,17.02,7.884,0.46323,f,1342211801,3189.2,TRUE,TRUE
2728,2.776538,163.299803,179.4,32.28,VFID2727,NGC3994,HPESL100A_J115736.9+321637,green,179.403879,32.276928,8.00E-06,6.00E-06,6971.798,360.26,null,63.9,14.579,null,0,f,1342211801,3070.9,TRUE,TRUE
2761,6.827115,-63.492086,174.94,31.93,VFID2760,NGC3788,HPESL070A_J113944.1+315556,blue,174.933796,31.932087,6.70E-05,5.70E-05,927.596,4.414,4.196,329.701,15.561,null,0,f,1342223319,2669,TRUE,FALSE
2765,22.100422,58.664276,174.93,31.91,VFID2764,NGC3786,HPESL070A_J113943.9+315437,blue,174.932931,31.910323,8.10E-05,6.90E-05,1112.782,4.618,null,293.264,15.382,8.807,0.572569,f,1342223319,2700.9,TRUE,FALSE
2796,6.346417,-77.026723,186.05,31.52,VFID2795,NGC4359,HPESL100A_J122410.6+313120,green,186.044387,31.52231,0.000128,0.000109,720.694,15.647,null,113.757,14.474,null,0,f,1342257125,1251,FALSE,TRUE
2882,14.040182,93.54872,188.46,30.28,VFID2881,NGC4525,HPESL100A_J123352.2+301638,green,188.467567,30.27728,0.000261,0.000226,234.847,5.795,null,104.955,15.606,null,0,f,1342257471,1174.9,FALSE,TRUE
3020,5.669139,145.255831,156.75,28.64,VFID3019,NGC3245A,HPESL160A_J102701.3+283817,red,156.755778,28.638052,0.000344,0.000302,330.801,8.071,8.414,62.594,41.078,13.433,0.32702,f,1342255930,1324.3,FALSE,TRUE
3027,1.339414,-11.090887,162.05,28.6,VFID3026,NGC3380,HPESL160A_J104812.1+283608,red,162.050623,28.60217,0.000148,0.00013,1232.672,18.882,7.116,102.11,31.971,null,0,f,1342255920,1596.2,FALSE,TRUE
3085,5.596674,-65.252377,166.01,28.04,VFID3084,NGC3512,HPESL160A_J110402.5+280215,red,166.010669,28.037436,0.000519,0.000459,2208.031,24.842,11.031,162.992,35.226,null,0,f,1342255296,1371.7,FALSE,TRUE
3096,6.477287,104.516579,188.99,27.96,VFID3095,NGC4559,HPESL160A_J123558.1+275733,red,188.992313,27.959233,2.30E-05,2.10E-05,2023.677,13.775,2.932,289.196,28.608,26.246,0.917417,t,1342187067,813.6,TRUE,TRUE
3106,1.110849,-50.374075,162.82,27.85,VFID3105,UGC05958,HPESL160A_J105115.7+275056,red,162.815788,27.848945,0.000183,0.000162,509.051,12.828,4.19,67.587,31.167,11.349,0.364124,f,1342255924,1184,FALSE,TRUE
3157,7.518584,-123.152667,163.59,27.24,VFID3156,UGC06023,HPESL100A_J105420.4+271420,green,163.585228,27.238763,8.40E-05,7.50E-05,1859.144,18.538,null,232.855,22.713,null,0,f,1342255688,1333.3,FALSE,TRUE
3175,10.083416,-149.237749,170.13,26.96,VFID3174,NGC3629,HPESL160A_J112031.4+265739,red,170.130926,26.960943,0.000524,0.000467,769.071,10.418,4.13,106.617,32.442,null,0,f,1342255509,1508.8,FALSE,TRUE
3222,3.068424,34.177277,158.93,26.13,VFID3221,PGC031387,HPESL100A_J103542.1+260736,green,158.925755,26.12659,6.40E-05,5.80E-05,508.083,23.326,16.561,74.899,14.873,9.258,0.62247,f,1342255934,1396.4,FALSE,TRUE
3235,1.844391,134.423705,189.09,25.99,VFID3234,NGC4565,HPESL160A_J123620.8+255914,red,189.087005,25.987163,3.80E-05,3.40E-05,7231.154,22.891,3.904,663.922,29.682,null,0,f,1342257997,1226.2,FALSE,TRUE
3254,12.048288,29.930589,192.94,25.78,VFID3253,NGC4747,HPESL160A_J125146.2+254645,red,192.942585,25.779103,7.50E-05,6.80E-05,1469.195,8.213,7.917,383.629,33.693,13.305,0.394887,f,1342258030,1186.9,FALSE,TRUE
3287,7.907191,-141.09275,192.61,25.5,VFID3286,NGC4725,HPESL160A_J125026.2+252957,red,192.609347,25.499041,3.70E-05,3.40E-05,1058.141,13.798,9.571,114.225,55.844,20.07,0.359399,t,1342198481,1207.5,TRUE,TRUE
3301,1.731971,-109.303097,155.24,25.36,VFID3300,UGC05588,HPESL100A_J102057.0+252153,green,155.237571,25.364762,3.50E-05,3.20E-05,2111.093,84.969,null,78.388,16.535,13.64,0.824946,f,1342255471,1297.4,TRUE,FALSE
3460,0.747037,178.041882,163.15,22.93,VFID3459,NGC3437,HPESL160A_J105235.7+225602,red,163.14891,22.933936,2.30E-05,2.10E-05,11590.091,30.98,24.356,1010.39,24.658,13.196,0.535173,f,1342255300,1261.8,FALSE,TRUE
3503,5.162765,-94.953774,184.39,22.54,VFID3502,UGC07321,HPESL100A_J121733.6+223224,green,184.39026,22.540138,9.10E-05,8.40E-05,322.207,9.845,7.095,83.475,22.417,7.365,0.328539,f,1342246146,410.6000061,FALSE,TRUE
3547,2.054539,-105.296618,154.45,21.87,VFID3546,NGC3187,HPESL100A_J101747.7+215223,green,154.448759,21.873178,7.50E-05,7.00E-05,933.267,11.505,null,185.372,21.746,null,0,f,1342207146,1583.2,TRUE,TRUE
3552,9.383678,-94.663209,154.53,21.83,VFID3551,NGC3190,HPESL160A_J101805.5+214957,red,154.523252,21.83247,1.00E-05,9.00E-06,6500.987,29.078,15.803,584.439,24.466,11.378,0.465058,t,1342207145,1317.1,TRUE,TRUE
3565,6.677332,-158.797574,158.7,21.65,VFID3564,NGC3287,HPESL100A_J103447.1+213848,green,158.696353,21.646542,8.20E-05,7.60E-05,1807.478,12.781,null,316.023,16.947,null,0,f,1342255942,1286,FALSE,TRUE
3655,13.707368,61.025742,172.31,20.58,VFID3654,IC0700,HPESL160A_J112916.1+203506,red,172.317278,20.585038,0.000353,0.000331,255.39,8.012,6.87,52.103,25.695,15.319,0.596175,f,1342255523,1408.6,TRUE,FALSE
3758,3.238935,-44.691483,189.03,19.32,VFID3757,NGC4561,HPESL100A_J123607.9+191924,green,189.033252,19.32331,0.000153,0.000144,802.525,15.716,null,99.804,19.268,null,0,f,1342258036,1399.7,FALSE,TRUE
3823,17.093637,27.07536,187.11,18.42,VFID3822,IC3391,HPESL100A_J122827.8+182509,green,187.116085,18.419305,8.40E-05,8.00E-05,415.428,9.099,4.071,119.186,13.939,6.081,0.43625,f,1342258038,1707.6,FALSE,TRUE
3885,31.294534,-160.982001,236.75,17.88,VFID3884,NGC5996,HPESL100A_J154658.1+175234,green,236.742369,17.876006,3.80E-05,3.60E-05,801.111,1.48,3.26,1403.803,19.996,9.101,0.455152,f,1342224359,3290.7,TRUE,TRUE
3892,2.315497,91.798589,170.94,17.82,VFID3891,NGC3659,HPESL160A_J112345.7+174907,red,170.940405,17.818642,9.00E-05,8.60E-05,2763.917,25.616,14.194,214.356,28.229,null,0,f,1342255535,1288,FALSE,TRUE
3951,7.373756,-75.105045,163.62,17.34,VFID3950,NGC3454,HPESL160A_J105429.0+172040,red,163.620946,17.34451,0.000123,0.000117,1481.813,16.732,12.518,163.526,54.34,10.961,0.201719,f,1342255304,1103.5,FALSE,TRUE
3958,0.953743,-94.42052,163.63,17.28,VFID3957,NGC3455,HPESL100A_J105431.0+171705,green,163.629227,17.28471,0.000239,0.000228,1348.35,22.187,null,125.251,25.184,null,0,f,1342255304,1104.4,FALSE,TRUE
3959,1.061355,51.766325,161.77,17.27,VFID3958,NGC3370,HPESL100A_J104704.1+171626,green,161.767069,17.27384,2.40E-05,2.30E-05,4327.383,31.513,null,318.93,19.163,9.755,0.509052,f,1342255306,1280.7,FALSE,TRUE
3962,1.390009,-143.87536,168.61,17.26,VFID3961,NGC3592,HPESL100A_J111427.2+171535,green,168.613649,17.259757,7.90E-05,7.50E-05,483.036,14.202,7.799,96.708,21.714,7.6,0.349982,f,1342255543,1299.5,FALSE,TRUE
3967,29.125751,-64.020757,171.93,17.22,VFID3966,NGC3686,HPESL100A_J112742.1+171340,green,171.925526,17.22766,5.60E-05,5.30E-05,1086.438,7.071,3.336,383.528,16.802,7.678,0.456958,f,1342255529,1156.4,FALSE,TRUE
3980,1.468735,74.277223,187.12,17.08,VFID3979,NGC4450,HPESL160A_J122829.6+170506,red,187.123393,17.085009,9.00E-05,8.60E-05,1496.267,15.658,5.446,196.88,24.202,15.494,0.640169,f,1342258040,1954.2,FALSE,TRUE
3981,0.704576,-63.986141,171.8,17.03,VFID3980,NGC3684,HPESL160A_J112711.1+170149,red,171.796418,17.030296,0.000124,0.000118,2600.002,18.105,7.271,273.344,31.64,19.721,0.6233,f,1342255527,1159.1,FALSE,TRUE
3986,12.213758,43.891704,172.04,16.92,VFID3985,NGC3691,HPESL160A_J112810.0+165522,red,172.041668,16.922889,0.000143,0.000137,1138.576,12.451,9.215,150.462,37.294,null,0,f,1342255525,1064.7,FALSE,TRUE
3994,17.82035,23.044671,171.62,16.86,VFID3993,NGC3681,HPESL100A_J112630.2+165204,green,171.626221,16.867847,0.000165,0.000158,469.842,6.738,null,152.092,16.635,9.217,0.554056,f,1342255531,1233,FALSE,TRUE
3995,6.685594,-54.479959,187.91,16.85,VFID3994,NGC4498,HPESL160A_J123139.1+165114,red,187.913181,16.853872,0.000118,0.000113,1290.785,13.175,5.599,169.872,49.598,14.412,0.290571,f,1342258042,1506,FALSE,TRUE
4017,5.260352,-111.889623,188.01,16.69,VFID4016,NGC4502,HPESL160A_J123202.9+164114,red,188.012212,16.687153,0.000263,0.000252,401.768,9.09,3.134,72.486,27.46,null,0,f,1342258044,1627,FALSE,TRUE
