cntr_01,dist_x,pang_x,vfid_01,ra_01,dec_01,vr_01,radius_01,radius_flag_01,objname_01,pgc_01,nsaidv1_01,nsaidv0_01,agc_01,nedname_01,hlflag_01,nsav1flag_01,nsav0flag_01,a100flag_01,vfid_v1_01,coflag_01,haflag_01,haobsflag_01,z0mgsflag_01,steerflag_01,unwiseflag_01,prefix_01,name,band,ra,dec,raerr,decerr,flux,snr,stn,strn,fwhmxfit,fwhmyfit,flag_elong,edgeflag,obsid
76,29.744377,-117.745022,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132950.1+471129,blue,202.458786,47.191304,4.8e-05,3.2e-05,7919.441,3.029,null,2025.354,16.69,null,0.0,f,1342178536
76,29.854616,84.395374,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132955.6+471145,blue,202.481693,47.19596,1.5e-05,1e-05,8327.482,2.094,3.350,2616.684,17.093,9.126,0.533908,f,1342188328
76,29.926349,-117.432015,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132950.0+471129,blue,202.45869,47.191321,4.8e-05,3.3e-05,7957.108,2.94,null,2076.489,18.867,null,0.0,f,1342178532
76,30.10888,-111.131264,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132949.9+471132,blue,202.458067,47.192135,2e-05,1.4e-05,8739.589,1.467,null,3555.761,15.671,null,0.0,f,1342188328
76,30.437471,87.733453,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL100A_J132955.6+471144,green,202.48198,47.195485,2.6e-05,1.8e-05,14271.494,9.3,null,3288.115,28.064,null,0.0,f,1342178512
76,30.439239,89.089818,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL100A_J132955.6+471143,green,202.481989,47.195285,2.5e-05,1.7e-05,13295.241,9.285,null,3090.429,29.664,null,0.0,f,1342178520
76,31.071648,89.71405,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132955.7+471143,blue,202.482249,47.195193,3.2e-05,2.2e-05,7970.827,3.03,null,1958.666,15.402,8.677,0.563353,f,1342178532
76,31.355933,90.297888,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132955.7+471142,blue,202.482365,47.195105,3.8e-05,2.6e-05,7929.576,3.107,null,1924.937,15.215,8.850,0.581676,f,1342178536
76,31.381646,89.157213,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132955.7+471143,blue,202.482374,47.195279,3.2e-05,2.2e-05,8195.162,3.021,null,1991.858,16.431,9.132,0.555788,f,1342178528
76,31.466479,89.94444,VFID1550,202.469547,47.195151,460.79998779,411.26461792,True,NGC5194,47404,0,0,0,MESSIER 051a,True,False,False,False,VFID1552,False,True,True,True,True,False,VFID1550-MESSIER051a,HPESL070A_J132955.7+471143,blue,202.48241,47.195159,3.6e-05,2.5e-05,8208.543,3.197,null,1899.453,17.424,8.922,0.512057,f,1342178540
