|    VFID|                RA|               DEC|                vr|    radius|radius_flag|                  objname|    PGC|NSAIDV1|NSAIDV0|   AGC|                     NEDname|HLflag|NSAV1flag|NSAV0flag|A100flag| VFID_V1|COflag|HAflag|HAobsflag|Z0MGSflag|Steerflag|unwiseflag|                              prefix|Herschelflag|HerschelFlag|
|    char|            double|            double|            double|     float|       char|                     char|   long|   long|   long|  long|                        char|  char|     char|     char|    char|    char|  char|  char|     char|     char|     char|      char|                                char|        char|        char|
|        |                  |                  |                  |    arcsec|           |                         |       |       |       |      |                            |      |         |         |        |        |      |      |         |         |         |          |                                    |            |            |
|    null|              null|              null|              null|      null|       null|                     null|   null|   null|   null|  null|                        null|  null|     null|     null|    null|    null|  null|  null|     null|     null|     null|      null|                                null|        null|        null|
 VFID0680        176.4699285         58.8031495             2407.9  11.094846        True                PGC2582972 2582972  179977   37428      0    WISEA J114552.80+584811.0   True      True      True    False VFID0681  False   True      True     False      True       True    VFID0680-WISEAJ114552.80+584811.0        False        False 
 VFID0682 265.72511249999997         58.7919444             3050.0  26.370676        True                  UGC10961   60739  634507  148182      0                    UGC 10961   True      True      True    False VFID0683  False  False      True      True      True       True                    VFID0682-UGC10961        False        False 
 VFID0691        176.7632175         58.7422304             3292.4  13.744257        True                 PGC036752   36752  179961   37421      0                 SBS 1144+590   True      True      True    False VFID0692  False   True      True     False      True       True                 VFID0691-SBS1144+590        False        False 
 VFID0701        230.5414155          58.638756             3297.5   8.149318        True                PGC2581064 2581064   95640   19975      0    WISEA J152209.95+583819.7   True      True      True    False VFID0702  False   True      True     False      True       True    VFID0701-WISEAJ152209.95+583819.7        False        False 
 VFID0703        176.5141155          58.606062             1333.9   11.37945        True                PGC2580656 2580656  179980   37430      0    WISEA J114603.32+583621.6   True      True      True    False VFID0704  False   True      True     False      True       True    VFID0703-WISEAJ114603.32+583621.6        False        False 
 VFID0715         176.494695         58.5352123             1383.2  15.209722        True                 PGC036687   36687  179974   37427      0                 SBS 1143+588   True      True      True    False VFID0716  False   True      True     False      True       True                 VFID0715-SBS1143+588        False        False 
 VFID0719         228.371631         58.5093369             2543.0  24.952913        True                 PGC054346   54346   94936   19883      0                     MRK 0847   True      True      True    False VFID0720   True   True      True      True      True       True                     VFID0719-MRK0847        False        False 
 VFID0731         229.612719         58.4497298             2562.0  13.216646        True                PGC2578846 2578846   94990   19892      0     SDSS J151827.05+582658.5   True      True      True    False VFID0732  False   True      True     False      True       True     VFID0731-SDSSJ151827.05+582658.5        False        False 
 VFID0737         176.978085         58.3642304             1383.8  20.898796        True   SDSSJ114754.72+582151.3 4001417  255643   52414      0     SDSS J114754.72+582151.3   True      True      True    False VFID0738  False   True      True     False      True       True     VFID0737-SDSSJ114754.72+582151.3        False        False 
 VFID0775         230.965329         58.0529766             2660.1   50.48022        True                  UGC09837   54976  684930  166168      0                    UGC 09837   True      True      True    False VFID0776   True   True      True      True      True       True                    VFID0775-UGC09837        False        False 
 VFID0782 266.04353100000003         57.9877822             2855.0  15.744224        True                  UGC10968   60769  634519  148194      0                    UGC 10968   True      True      True    False VFID0783   True   True      True      True      True       True                    VFID0782-UGC10968        False        False 
